Day,Platform,TSM: Platform,TSM: Audience,TSM: Customer Type,TSM: Product Type,TSM: Ad Type,TSM: Ad Content,TSM: Sales Kind,TSM: Platform Objective,TSM: Buying Objective,Spend,Impressions,Link Clicks,Video Views,TSM: Total Shopify Sales,TSM: Total Units Sold
15/10/2021,Google Ads,Google Search,Expanded dynamic search ad,,,Expanded dynamic search ad,,,Conversion Campaign,Target CPA,0.15,41,4,0,0,0
15/10/2021,Google Ads,Google Search,Expanded dynamic search ad,,,Expanded dynamic search ad,,,Conversion Campaign,Target ROAS,46.33,27,4,0,0,0
15/10/2021,Google Ads,Google Search,Expanded text ad,,,Expanded text ad,,,Conversion Campaign,Maximize Conversion Value,127.08,387,44,0,0,0
15/10/2021,Google Ads,Google Search,Expanded text ad,,,Expanded text ad,,,Conversion Campaign,Target ROAS,119.61,1642,34,0,0,0
15/10/2021,Google Ads,Google Search,Expanded text ad,,"'-,Sweatshirts",Expanded text ad,520986452070,order,Conversion Campaign,Maximize Conversion Value,29.79,76,9,0,221,2
15/10/2021,Google Ads,Google Search,Responsive search ad,,,Responsive search ad,,,Conversion Campaign,Maximize Conversion Value,45.31,159,24,0,0,0
15/10/2021,Google Ads,Google Search,Responsive search ad,,,Responsive search ad,,,Conversion Campaign,Target ROAS,78.26,1407,50,0,0,0
15/10/2021,Google Ads,Google Search,Responsive search ad,,"'-,Bottoms,Shirt Jackets,Sweatshirts,T-Shirts",Responsive search ad,515181510893,order,Conversion Campaign,Maximize Conversion Value,63.47,239,65,0,2471.09,29
15/10/2021,Google Ads,Google Search,Responsive search ad,,"'-,Bottoms,Sweatshirts,T-Shirts",Responsive search ad,515135199559,order,Conversion Campaign,Maximize Conversion Value,31.27,184,36,0,2564.15,31
15/10/2021,Google Ads,Google Search,Responsive search ad,,"'-,Sweatshirts",Responsive search ad,515077750017,order,Conversion Campaign,Maximize Conversion Value,40.67,187,29,0,599.66,8
15/10/2021,Google Ads,Google Search,Responsive search ad,,"'-,Sweatshirts",Responsive search ad,551875551788,order,Conversion Campaign,Maximize Conversion Value,27.39,18,3,0,166.6,2
15/10/2021,Google Ads,Google Search,Responsive search ad,,"'-,T-Shirts",Responsive search ad,515185048457,order,Conversion Campaign,Maximize Conversion Value,21.05,234,7,0,277.03,4
15/10/2021,Google Ads,Google Shopping,Shopping ad,,,Shopping ad,,,Conversion Campaign,Target ROAS,69.73,13984,60,0,0,0
15/10/2021,Google Ads,Google Shopping,Shopping ad (goal-optimized),,,Shopping ad (goal-optimized),,,Conversion Campaign,Maximize Conversion Value,24.55,2824,47,0,0,0
15/10/2021,Google Ads,Google Shopping,Shopping ad (goal-optimized),,"'-,T-Shirts",Shopping ad (goal-optimized),499217688443,order,Conversion Campaign,Maximize Conversion Value,13.03,3574,13,0,378.88,5
16/10/2021,Amazon,Amazon,,,,productCollection,,,Conversion Campaign,,44.12,3765,38,0,0,0
16/10/2021,Amazon,Amazon,,,,,,,Conversion Campaign,autoForSales,53.67,80756,69,0,0,0
16/10/2021,Amazon,Amazon,,,,,,,Conversion Campaign,,1.63,331,4,0,0,0
16/10/2021,Facebook,Facebook,,,,Carousel,,,Conversion Campaign,CONVERSIONS,24.84,459,0,0,0,0
16/10/2021,Facebook,Facebook,,,,Carousel,,,Conversion Campaign,PRODUCT_CATALOG_SALES,2.2,52,0,0,0,0
16/10/2021,Facebook,Facebook,,,,Collection,,,Conversion Campaign,CONVERSIONS,113.25,6371,54,23,0,0
16/10/2021,Facebook,Facebook,,,,Image,,,Brand Awareness,STORE_VISITS,17.81,713,0,0,0,0
16/10/2021,Facebook,Facebook,,,,Image,,,Conversion Campaign,CONVERSIONS,28.58,198,0,0,0,0
16/10/2021,Facebook,Facebook,,,,Product Feed - Carousel,,,Conversion Campaign,PRODUCT_CATALOG_SALES,114.41,3730,20,0,0,0
16/10/2021,Facebook,Facebook,,,,Product Feed - Image,,,Conversion Campaign,CONVERSIONS,877.73,20266,142,362,0,0
16/10/2021,Facebook,Facebook,,,,Product Feed - Image,,,Conversion Campaign,LEAD_GENERATION,89.53,2546,24,0,0,0
16/10/2021,Facebook,Facebook,,,,Product Feed - Image,,,Conversion Campaign,LINK_CLICKS,21.57,2514,150,194,0,0
16/10/2021,Facebook,Facebook,,,,Product Feed - Image,,,Conversion Campaign,PRODUCT_CATALOG_SALES,11.95,532,7,0,0,0
